10021	WARN	(Cross-Domain JavaScript Source Inclusion)
10023	INFO	(Information Disclosure - Debug Messages)
10024	INFO	(Information Disclosure - Sensitive Information in URL)
10027	INFO	(Information Disclosure - Sensitive Information in HTTP Referrer Header)
10035	WARN	(Heartbleed Vulnerability)
10036	INFO	(Server Leaks Version Information)
10037	INFO	(Server Leaks via X-Powered-By Header)
10038	INFO	(Content Security Policy Header Not Set)
10040	INFO	(Weak Authentication Method)
10045	INFO	(X-Content-Type-Options Header Missing)
10049	INFO	(Cache Control Header)
10050	WARN	(Cookies without SameSite Attribute)
10054	WARN	(Strict-Transport-Security Header Not Set)
10055	INFO	(CSP)
10056	WARN	(Permissions Policy Header Not Set)
10057	INFO	(Expect-CT Header Not Set)
10096	WARN	(Timestamp Disclosure)
10098	WARN	(Cross-Domain Misconfiguration)
10099	WARN	(WSTG)
10105	WARN	(Absence of Anti-CSRF Tokens)
10108	INFO	(JavaScript Framework Detected)
10109	INFO	(Modern App Detection)
40003	WARN	(CSP Fully Loaded)
40012	WARN	(Cross Site Scripting - DOM)
40014	WARN	(Cross Site Scripting - Persistent)
40015	WARN	(Cross Site Scripting - Reflected)
40016	WARN	(Cross Site Scripting - Scalar)
40018	WARN	(SQL Injection)
40019	WARN	(SQL Injection - MySQL)
40020	WARN	(SQL Injection - Hypersonic)
40021	WARN	(SQL Injection - Oracle)
40022	WARN	(SQL Injection - PostgreSQL)
40024	WARN	(SQL Injection - SQLite)
90019	WARN	(Server Side Code Injection)
90020	WARN	(Remote OS Command Injection)
90021	WARN	(Path Traversal)
90022	WARN	(Remote File Inclusion)
90023	WARN	(Internal Image File Disclosure)
90024	WARN	(External Image File Disclosure)
90025	WARN	(Private IP Disclosure)
90026	WARN	(Session Fixation)
90027	WARN	(Source Code Disclosure - /WEB-INF)
90028	WARN	(Source Code Disclosure)
90032	WARN	(Cookie Without SameSite Attribute)
90033	WARN	(Weak Authentication Method)
90034	WARN	(Loosely Scoped Cookie)
